,count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,sentiment
14992,22,2,0,0,0,0,0,negative
14076,18,0,0,0,0,1,0,neutral
12733,14,0,0,0,0,0,0,neutral
4254,19,0,1,0,0,0,0,neutral
2895,26,0,0,0,0,1,0,neutral
14049,27,1,0,0,0,0,0,neutral
4071,17,0,1,4,1,0,0,positive
14686,23,2,0,0,2,0,0,positive
5527,23,0,1,1,0,0,0,negative
13506,19,1,1,0,0,0,0,negative
15966,32,0,0,1,2,0,0,negative
11926,28,0,0,0,0,0,0,positive
13226,23,0,0,0,0,0,0,positive
13144,28,0,0,0,1,0,0,neutral
8102,20,0,0,0,3,1,0,neutral
13894,24,0,0,1,0,1,0,neutral
4415,26,1,0,0,1,1,0,positive
10231,15,0,0,0,3,0,0,negative
14685,24,0,0,2,0,1,0,neutral
12958,27,0,1,1,0,0,0,neutral
11362,17,0,1,0,0,0,0,positive
3893,13,0,0,0,0,0,0,positive
1933,30,0,0,1,0,0,0,neutral
13606,16,0,0,0,0,0,0,negative
320,30,0,0,2,0,1,0,neutral
9549,28,0,0,0,0,0,0,neutral
9649,11,0,0,0,0,0,0,neutral
9192,15,1,0,0,0,0,0,neutral
8031,22,1,0,13,0,0,0,positive
5738,27,1,0,0,0,0,0,negative
5648,12,0,0,1,0,0,0,neutral
2543,24,0,0,2,0,1,0,neutral
3146,24,0,0,0,2,0,0,positive
13888,28,0,1,2,0,0,0,negative
14573,18,0,1,0,0,0,0,negative
9515,21,0,1,0,1,0,0,neutral
4841,14,0,0,0,0,0,0,negative
1231,23,0,0,0,3,0,0,positive
2420,20,0,0,0,0,0,0,positive
12154,26,0,0,0,0,0,0,neutral
5561,18,0,0,0,1,0,0,positive
1434,25,0,2,2,0,1,0,neutral
12434,24,1,0,1,3,0,0,neutral
4977,29,1,0,0,1,0,0,negative
15958,22,0,1,0,1,1,0,positive
13252,23,0,1,1,1,0,0,neutral
400,23,1,0,0,0,0,0,neutral
9760,20,1,0,0,0,0,0,neutral
14338,9,1,0,0,4,0,0,positive
11980,23,0,2,0,0,0,0,neutral
3936,9,1,0,0,0,0,0,neutral
12840,16,0,1,0,0,0,0,positive
8230,10,1,0,0,0,0,0,neutral
14011,25,1,0,0,2,0,0,neutral
2411,18,0,0,1,0,0,0,neutral
12205,9,0,1,0,0,0,0,negative
5398,25,0,1,0,0,0,0,negative
10000,18,2,0,0,1,0,0,neutral
3430,23,1,0,2,0,1,0,neutral
3790,18,0,0,0,0,1,0,neutral
1910,20,0,0,0,0,0,0,neutral
14347,25,2,1,0,0,0,0,positive
12677,16,0,0,0,0,1,0,negative
5571,24,0,0,3,0,1,0,neutral
3366,18,0,0,1,0,0,0,positive
11467,28,0,0,1,0,1,0,neutral
788,23,0,0,0,1,0,0,neutral
5752,26,1,0,0,1,0,0,positive
10702,22,1,0,1,0,0,0,neutral
