,tweet_created_at,tweet_full_text,text_clean
1291,Fri Sep 07 16:25:06 +0000 2018,Done is better than perfect. — Sheryl Sandberg #quote #motivation #justdoit https://t.co/J9lLdszdW6,done better perfect sheryl sandberg quot motiv justdoit
4748,Fri Sep 07 16:24:59 +0000 2018,"Shout out to the Great Fire Department and the tour! 👨‍🚒👨‍🚒 Much love to NYC! 💯🎥🔥✊🏿
•
•
•
#hero #fdny #likesforlikes #promo #music #instagood #instadaily #postoftheday #bestoftheday #justdoit #nike #picoftheday... https://t.co/sFobQ2ukpo",shout great fire depart tour 👨‍🚒👨‍🚒 much love nyc 💯🎥🔥✊🏿 hero fdni likesforlik promo music instagood instadaili postoftheday bestoftheday justdoit nike picoftheday
3690,Fri Sep 07 16:24:50 +0000 2018,"There are some AMAZINGLY hilarious Nike Ad memes happening on my newsfeed.  Soooo, I decided to get a little creative too... 

#JustDoIt #4YourMorning #4YourMemeCollection 

🍪😂 https://t.co/6ok9qR6k6M",amazingli hilari nike ad meme happen newsfe soooo decid get littl creativ justdoit yourmorn yourmemecollect 🍪😂
4797,Fri Sep 07 16:24:44 +0000 2018,#kapernickeffect #swoosh #justdoit @ Lucas Bishop's Cigar Lounge https://t.co/BhPBnjOkuU,kapernickeffect swoosh justdoit luca bishop cigar loung
3966,Fri Sep 07 16:24:39 +0000 2018,"One Hand, One Dream: The Shaquem Griffin Story  https://t.co/0EbEmwULLF   #shaquem  #NFL #Seattle #Seahawks #griffin #JustDoIt #Nike https://t.co/pr8eosDZS7",one hand one dream shaquem griffin stori shaquem nfl seattl seahawk griffin justdoit nike
27,Fri Sep 07 16:24:35 +0000 2018,@realDonaldTrump It's time for me to stock up on some new running apparel. Nike it is! #JUSTDOIT,time stock new run apparel nike justdoit
1801,Fri Sep 07 16:24:24 +0000 2018,Why won't Trump protect our elections?  Think it over.  #RegisterToVote Vote -  #JustDoIt https://t.co/x9I3qgZDEH,trump protect elect think registertovot vote justdoit
2176,Fri Sep 07 16:24:13 +0000 2018,"@Nike good job on shaking the whole world, i see what you did there. Millions and Millions of dollars worth of free advertising. #JustDoIt",good job shake whole world see million million dollar worth free advertis justdoit
1565,Fri Sep 07 16:24:09 +0000 2018,GREAT way to meet good people...wearing your Nike gear in the park! Thanks @Nike @nikestore @Kaepernick7 #JustDoIt #TakeAKnee #TakeAKneeInNikes https://t.co/TIFLnv2puQ,great way meet good peopl wear nike gear park thank justdoit takeakne takeakneeinnik
762,Fri Sep 07 16:23:51 +0000 2018,"Lead,Trade and Succeed with ICM
Please retweet 
#FX #FeelGoodFriday #FridayFeeling #TRADERMONI #JustDoIt #FridayMotivation https://t.co/rtmVToSucq",lead trade succeed icm pleas retweet fx feelgoodfriday fridayfeel tradermoni justdoit fridaymotiv
3181,Fri Sep 07 16:23:41 +0000 2018,My favorites so far #JustDoIt https://t.co/zY7VDa5Q0X,favorit far justdoit
4317,Fri Sep 07 16:23:40 +0000 2018,"Colin Kaepernick's business partner @Nike sends millions of dollars to groups which target black lives for gruesome deaths domestically and abroad. #NikeBoycott #JustDoIt

https://t.co/abSV7fP7YN",colin kaepernick busi partner send million dollar group target black live gruesom death domest abroad nikeboycott justdoit
3508,Fri Sep 07 16:23:37 +0000 2018,@CSPensions Why be a cat when you can be a lion. #JustDoIt  ;),cat lion justdoit
759,Fri Sep 07 16:23:30 +0000 2018,"@realDonaldTrump They were thinking history will judge the treatment of @ColinKaperneck7 and will come out on his side, they decided to lead! #JustDoIt",think histori judg treatment come side decid lead justdoit
4721,Fri Sep 07 16:23:27 +0000 2018,@RepAdamSchiff Go ahead @RepAdamSchiff   #JustDoIt #SpartacAssJr,go ahead justdoit spartacassjr
885,Fri Sep 07 16:23:21 +0000 2018,Why be a cat when you can be a lion. #JustDoIt https://t.co/vPOkgfchFR,cat lion justdoit
4311,Fri Sep 07 16:23:17 +0000 2018,#socialism be like me and #JustDoIt because ya know it like works and stuff I mean come on it’s like the greatest thing ever I mean like duh ....🤔🙄😳...#Truth #kaga2018 #kag2020 #Maga #FakeNews https://t.co/FsJZyVC98J,social like justdoit ya know like work stuff mean come it’ like greatest thing ever mean like duh 🤔🙄😳 truth kaga kag maga fakenew
2520,Fri Sep 07 16:23:09 +0000 2018,"Hey @Nike I stood for our country. I served my nation and that flag you're so enthused to kneel for. I stood for something, gave up everything. You want to impress me? Hire a real man for your ads. Hire a marine not a bitchy millionaire. He gave up nothing.  #JustDoIt",hey stood countri serv nation flag enthus kneel stood someth gave everyth want impress hire real man ad hire marin not bitchi millionair gave noth justdoit
2608,Fri Sep 07 16:23:02 +0000 2018,"I’ve seen a lot of memes re #JustDoIt but this particular one struck me.......haunting. 

For me, this speaks to how far the Left will go to undermine @realDonaldTrump &amp; the will of true American Patriots. 

Let’s do our job to help @POTUS 

#VoteRedToSaveAmerica #VoteRed2018 https://t.co/rm7XBt3W9l",i’v seen lot meme justdoit particular one struck haunt speak far left go undermin amp true american patriot let’ job help voteredtosaveamerica voter
2254,Fri Sep 07 16:22:55 +0000 2018,Abortion stops a beating heart. Just imagine all the lives we can save if we get #Kavanaugh on the court. Democrats should be eager to confirm him for the sake of our children. #justdoit,abort stop beat heart imagin live save get kavanaugh court democrat eager confirm sake children justdoit
2484,Fri Sep 07 16:22:41 +0000 2018,@Nike My favorite Nike commercial ever!! #JustDoIt,favorit nike commerci ever justdoit
4961,Fri Sep 07 16:22:19 +0000 2018,Modeling is more than just runway and clothes for me. It’s a daily way of life to be an example when I step out the door and into any room. Happy Friday! #nike #kaepernick7 #justdoit @Kaepernick7 @Nike @nikesportswear @nikewomen #FridayFeeling #FridayMotivation https://t.co/YwvMNYONMB,model runway cloth it’ daili way life exampl step door room happi friday nike kaepernick justdoit fridayfeel fridaymotiv
1307,Fri Sep 07 16:21:55 +0000 2018,You are never too broke to shop your favourite fashion brands when they are at #Discounts365days #JustDoIt https://t.co/hwlxCLesVg,never broke shop favourit fashion brand discountsday justdoit
892,Fri Sep 07 16:21:54 +0000 2018,My kinda Lady ... #Justdoit #Nike !!! https://t.co/GIFmg85rAm,kinda ladi justdoit nike
2442,Fri Sep 07 16:21:41 +0000 2018,Dream Big &amp; #Justdoit! https://t.co/Vr4GIyGsoj,dream big amp justdoit
4800,Fri Sep 07 16:21:39 +0000 2018,"Hey!!!! go check this video out !!! It’s a lot of fun and cute #newyoutubers 
#relationshipgoals 
#JustDoIt. Just click the link and subscribe 🧡
https://t.co/W7JhYpHtXL https://t.co/ltUmnsCxxZ",hey go check video it’ lot fun cute newyoutub relationshipgo justdoit click link subscrib
1369,Fri Sep 07 16:21:28 +0000 2018,Nike got $43 million of free press in the 24 hours after #JustDoIt campaign. It pays to put your balls on the line.,nike got million free press hour justdoit campaign pay put ball line
3053,Fri Sep 07 16:21:25 +0000 2018,"@realDonaldTrump They were thinking - “let’s use this talented football star, who’s been blackballed by asshole NFL owners, to take a stand and optimize our ad’s reach with minimal dollars”. A genius move by Nike! Free publicity is a marketers dream! #NikeStrong #JustDoIt #TeamNike #ImWithKap",think “let’ use talent footbal star who’ blackbal asshol nfl owner take stand optim ad’ reach minim dollars” geniu move nike free public market dream nikestrong justdoit teamnik imwithkap
2361,Fri Sep 07 16:21:12 +0000 2018,YOU STOLE MY GODDAMN HOUSE #justdoit #juststealit @Bravotv @BravoWWHL @ParisHilton https://t.co/8xShKr0SYq,stole goddamn hous justdoit juststealit
2986,Fri Sep 07 16:21:09 +0000 2018,Don't skip leg day y'all #legday #justdoit #flexfriday #berkhansays https://t.co/6o3ktraCCu,skip leg day legday justdoit flexfriday berkhansay
233,Fri Sep 07 16:21:03 +0000 2018,"""Believe in something. Even if it means sacrificing everything.""

Nike has chosen bold words for their #JustDoIt campaign. But what exactly does sacrifice mean to a multi-billion dollar corporation?

Branded revolution: ✔️

https://t.co/QIZex684w6",believ someth even mean sacrif everyth nike chosen bold word justdoit campaign exactli sacrific mean multi billion dollar corpor brand revolut ✔️
5,Fri Sep 07 16:20:57 +0000 2018,Why yall do Tayson like dat #JustDoIt #nike #photooftheday #internewins #Mike_Tyson #Tyson https://t.co/dWopqtjitM,yall tayson like dat justdoit nike photooftheday internewin miketyson tyson
3880,Fri Sep 07 16:20:43 +0000 2018,"#MissAmerica #FlashbackFriday #JobsReport Nike #GOT7 #JustDoIt FEMA #campaigns #TV3GH
SpiderMan #KaepernickNikeAd #slaveryremembranceday #MudaSuksesMenang 
#FridayFeeling #NationalBeerLoversDay I Love It
#eminemvsmgk #Nas vs #Kelis Kanye #INDRAKETUJUHEPS38
https://t.co/sVDCOXDBJP",missamerica flashbackfriday jobsreport nike got justdoit fema campaign tvgh spiderman kaepernicknikead slaveryremembranceday mudasuksesmenang fridayfeel nationalbeerloversday love eminemvsmgk na vs keli kany indraketujuhep
1332,Fri Sep 07 16:20:28 +0000 2018,@Nike is the only shoe I'll train in. I'm wearing the Nike Bruins from Back to the Future for my wedding. Hell yeah Nike. #JustDoIt,shoe train wear nike bruin back futur wed hell yeah nike justdoit
3445,Fri Sep 07 16:20:15 +0000 2018,"The @elonmusk Mindset

#JustDoIt https://t.co/2wq93hJjxy",mindset justdoit
1940,Fri Sep 07 16:20:08 +0000 2018,"@tgirlmiller @realDonaldTrump Donating my #Nike  all in great coditions, many barely worn to homeless veterans and buying new ones for my self.
#JustDoIt https://t.co/EVH7Frnlwm",donat nike great codit mani bare worn homeless veteran buy new one self justdoit
4706,Fri Sep 07 16:20:01 +0000 2018,@nerdygirl007 @1DentalHyGenius @IntelisexXx @NuttyTrump @CokerRory @benFranklin2018 Yes!!! Do it!! #JustDoIt,ye justdoit
838,Fri Sep 07 16:19:57 +0000 2018,@realDonaldTrump It’s clear why you &amp; Kim “respect” each other so much...#DonaldLovesDictators  #TakeAKnee #ColinKaepernick #Nike #JustDoIt #FightFascism https://t.co/ZYjB3DcSxI,it’ clear amp kim “respect” much donaldlovesdict takeakne colinkaepernick nike justdoit fightfasc
2618,Fri Sep 07 16:19:49 +0000 2018,Just do it. #nike #meme #justdoit #justtryit #cafecitoenergy #energy https://t.co/b67YtvoraG,nike meme justdoit justtryit cafecitoenergi energi
123,Fri Sep 07 16:19:31 +0000 2018,"#JustDoIt … another potential spokesperson for #Nike
Former Cowboys RB Joseph Randle arrested, charged with rape https://t.co/XmW482KIUb",justdoit anoth potenti spokesperson nike former cowboy rb joseph randl arrest charg rape
1776,Fri Sep 07 16:19:21 +0000 2018,"Just left the @Nike store #greatlakescrossing  I don't even like Nike like that... BUT it's for the culture. Yall take care of Rena and Kap..I'll support you.

#Fortheculture
#Nike
#Justdoit
#bringit https://t.co/Ns6snxuann",left store greatlakescross even like nike like cultur yall take care rena kap support forthecultur nike justdoit bringit
4221,Fri Sep 07 16:18:54 +0000 2018,#BOOM #MannCup2018 READY!! 7 hours @satolax22 #justDOIT!! #WestCoastBestCoast @CurtisDickson17 #FLYYYY! https://t.co/FRul00IsBq,boom manncup readi hour justdoit westcoastbestcoast flyyyy
2698,Fri Sep 07 16:18:35 +0000 2018,"#Lebron16: Look at those eyes...

#LeBron #Nike #JustDoIt https://t.co/WNvn4qzhQt",lebron look eye lebron nike justdoit
1860,Fri Sep 07 16:18:29 +0000 2018,So with the Sun and new moon in Virgo this Sunday- I’m commencing an exercise regimen to compliment my dietary regimen. #goals #JustDoIt https://t.co/uJrYrrSdTl,sun new moon virgo sunday i’m commenc exercis regimen compliment dietari regimen goal justdoit
3994,Fri Sep 07 16:18:24 +0000 2018,Mr #IQ45 alone with #MitchMcConnell @SenateMajLdr #GOP meeting to see how they can destroy #presObama @Niki #Kaepernick #JustDoIt,mr iq alon mitchmcconnel gop meet see destroy presobama kaepernick justdoit
3543,Fri Sep 07 16:18:14 +0000 2018,"@Nike world is yours - the world is flat,  Kyrie ,LeBron and I have your back. Do I have your back? I’ve known you since grade school. I can’t believe this even rhymes I’m a fool .   @KingJames #LeBron #lebronjames #nike #kyrie #kapernick #justdoit #sneaker",world world flat kyri lebron back back i’v known sinc grade school can’t believ even rhyme i’m fool lebron lebronjam nike kyri kapernick justdoit sneaker
1701,Fri Sep 07 16:18:11 +0000 2018,@realDonaldTrump I got new @Nike running shoes this week. #JustDoIt #JustDoIt #StandForSomething #TakeTheKnee,got new run shoe week justdoit justdoit standforsometh takethekne
3714,Fri Sep 07 16:17:51 +0000 2018,"Pure Gold!
From Larry Elder
(Overheard, II)

I returned a pair of Nike shoes yesterday for a refund, and the clerk asked me what was wrong with them. I told her they hurt my feet when I stood up for the national anthem.

#JustDoIt #ISTANDFORAMERICA",pure gold larri elder overheard ii return pair nike shoe yesterday refund clerk ask wrong told hurt feet stood nation anthem justdoit istandforamerica
3128,Fri Sep 07 16:17:50 +0000 2018,"If you work hard, limitless and focus on your goals and respecting each other... the only thing you will have, is the success.
#JustDoIt https://t.co/ARRxcgQim9",work hard limitless focu goal respect thing success justdoit
2009,Fri Sep 07 16:17:46 +0000 2018,"New season of #ESG Notes kicks off today. Today, ESG Note S2E1:  Nike Blows Our Minds, Inequality Is Hot, Exit Theranos, Ocean Bonds, @GuyCallendar. #investment #strategy #sustainability #impinv #susty #SDGs #JustDoIt #Theranos #TheLongSwim #FridayReads https://t.co/TcVVrBsLrn",new season esg note kick today today esg note se nike blow mind inequ hot exit therano ocean bond invest strategi sustain impinv susti sdg justdoit therano thelongswim fridayread
2302,Fri Sep 07 16:17:43 +0000 2018,"Invest in #Mojo50?

#JustDoIt 

@DocThompsonShow 
@realBradStaggs 
@foodbizpro",invest mojo justdoit
2542,Fri Sep 07 16:17:07 +0000 2018,"If you don’t express to me that you wish to be buried after your death, best believe you’re getting cremated and launch out of a shoulder fired rocket launcher. #LoveIsLove #Justdoit #ShowerThoughts",don’t express wish buri death best believ you’r get cremat launch shoulder fire rocket launcher loveislov justdoit showerthought
3397,Fri Sep 07 16:17:06 +0000 2018,@Nike  you gotta get these made! #JustDoIt https://t.co/LiDtQx0Xt2,gotta get made justdoit
4036,Fri Sep 07 16:16:58 +0000 2018,Don’t ask if your dreams are crazy. Ask if they’re crazy enough.!!#justdoit,don’t ask dream crazi ask they’r crazi enough justdoit
218,Fri Sep 07 16:16:53 +0000 2018,"Create Your Own Nike Just Do It Colin Kaepernick Meme With This Free Template: https://t.co/h9SZP6dUKB

#Nike #ColinKaepernick #JustDoIt https://t.co/rIqRybre1A",creat nike colin kaepernick meme free templat nike colinkaepernick justdoit
3998,Fri Sep 07 16:16:46 +0000 2018,#Justdoit Vote our &amp; oust McGovern!,justdoit vote amp oust mcgovern
4951,Fri Sep 07 16:16:40 +0000 2018,This is why Colin kneels.  We all should kneel. You can't even ride in a car with your grandmother looking as timid as Urkel without getting profiled by police as a criminal. You can hear the despair in his voice. #ImwithKap. #Justdoit https://t.co/pFxaXOE9UM,colin kneel kneel even ride car grandmoth look timid urkel without get profil polic crimin hear despair voic imwithkap justdoit
3209,Fri Sep 07 16:15:43 +0000 2018,Sounds like a plan! #JustDoIt #FirstAmendment https://t.co/ULAA6K0Tgu,sound like plan justdoit firstamend
4251,Fri Sep 07 16:15:28 +0000 2018,"#JustDoIt: Nike took a knee for Kaepernick, outrage ensues. Were you surprised? https://t.co/e7ab3oVkHX https://t.co/yhFHvgNSog",justdoit nike took knee kaepernick outrag ensu surpris
2580,Fri Sep 07 16:15:14 +0000 2018,"@realDonaldTrump Just Do It!!
#trumpTrash
 #JustDoIt 
#Nike
#NFL
#NikeKap https://t.co/GQ7YwcVhur",trumptrash justdoit nike nfl nikekap
4502,Fri Sep 07 16:15:12 +0000 2018,just doin it on a friyay @nike #believeinsomething #colinkaepernick #justdoit #friyay @ Nike NYHQ https://t.co/v0bmxyq8RI,doin friyay believeinsometh colinkaepernick justdoit friyay nike nyhq
5036,Fri Sep 07 16:15:08 +0000 2018,"Check Me Out! September 10th on Facebook Live 8 am sharp.

""#justdoit""

See https://t.co/cKpdrrRzTJ for my freebie

""Four Easy Techniques to Keep You Calm as a Nurse""

Thanks! https://t.co/iNlExWzYav",check septemb th facebook live sharp justdoit see freebi four easi techniqu keep calm nurs thank
2196,Fri Sep 07 16:14:59 +0000 2018,What ever you feel like doing it #JustDoIt✔ https://t.co/SOoFxtB778,ever feel like justdoit✔
1577,Fri Sep 07 16:14:59 +0000 2018,It saved me it can save you too #JUSTDOIT 🌚🐾‼️ https://t.co/NYIuOqktj3,save save justdoit 🌚🐾‼️
3340,Fri Sep 07 16:14:50 +0000 2018,@washingtonpost Thank you #Kap #JustDoIt #Nike We are UNITED and will NOT allow DJT to divide US! #BlueWave2018,thank kap justdoit nike unit not allow djt divid us bluewav
3440,Fri Sep 07 16:14:47 +0000 2018,@Kaepernick7 @Nike and @Kaepernick7 are on the right side of history #LOVE_YOURSELF #BelieveInYourself #JustDoIt #EqualityforAll #CompassionforAll,right side histori loveyourself believeinyourself justdoit equalityforal compassionforal
1859,Fri Sep 07 16:14:44 +0000 2018,Friday Mood #JustDoIt https://t.co/D1b8qb3m5y,friday mood justdoit
4102,Fri Sep 07 16:14:37 +0000 2018,"@realDonaldTrump God bless President Trump! 👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
#justdoIt #JustDontDoIt #Trump2020 #RedWave https://t.co/RtqWsqflI5",god bless presid trump 👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 justdoit justdontdoit trump redwav
481,Fri Sep 07 16:14:37 +0000 2018,"| Just Do It!✔️ - @nike |
#JustDoIt #Nike #Meme #Jesus #Viral #Marketing #NBC #CNN #ColinKaepernick #Kaepernick #NikeJustDoIT #Football #Believe #Listen #NikeShoes #BelieveInSomething… https://t.co/A8PqKSakxL",✔️ justdoit nike meme jesu viral market nbc cnn colinkaepernick kaepernick nikejustdoit footbal believ listen nikesho believeinsomething…
3675,Fri Sep 07 16:14:31 +0000 2018,And they are using the their platform to draw media attention and awareness to the issue. Nike knows who their customers are.  #JustDoIt #Nike https://t.co/2ehv8QuO8p,use platform draw media attent awar issu nike know custom justdoit nike
1757,Fri Sep 07 16:14:31 +0000 2018,"@JWKeady @Kaepernick7 @KillerMike @tmorello #Nike #JustDoIt #TakeAKnee 
I'll say it again; he makes me glad my service was not simply to an empire. He shows me that at least one American is ethically free &amp; morally courageous enough to protest #injustice, as our forefathers once did. The rest of you seem to have forgotten;",nike justdoit takeakne say make glad servic not simpli empir show least one american ethic free amp moral courag enough protest injustic forefath rest seem forgotten
3365,Fri Sep 07 16:14:28 +0000 2018,"Believe in ThrillBill. Even if it means sacrificing other plans.
.
.
.
#nike #justdoit #justthrillbill #djthrillbill #704 #charLIT #thecoolestdjintheworld #😎 #thrillbillionaires #qcdjs… https://t.co/ZvoQ85CU08",believ thrillbil even mean sacrif plan nike justdoit justthrillbil djthrillbil charlit thecoolestdjintheworld thrillbillionair qcdjs…
3018,Fri Sep 07 16:14:25 +0000 2018,Those three words made all the difference. #JustDoIt https://t.co/CCrqAeINql,three word made differ justdoit
3948,Fri Sep 07 16:13:54 +0000 2018,"This is a great reminder that things may come to those that wait and they will be things left over by those that hustle. 
Less “into thought” more “into action”.  
#justdoit https://t.co/FMn00Vpmfh",great remind thing may come wait thing left hustl less “into thought” “into action” justdoit
2384,Fri Sep 07 16:13:53 +0000 2018,You knew it was coming #justdoit #hehe #michaeljackson #heheintothewind https://t.co/KrnoBniTOo,knew come justdoit hehe michaeljackson heheintothewind
2204,Fri Sep 07 16:13:50 +0000 2018,@Nike is aligning itself with the core values of our younger generation and celebrating athletes beyond their sport. BELIEVE IN SOMETHING. #thoughtwear #justdoit #diplomacy https://t.co/mP9M64pqvm,align core valu younger gener celebr athlet beyond sport believ someth thoughtwear justdoit diplomaci
3051,Fri Sep 07 16:13:38 +0000 2018,"You’ve gotta WORK to make things WORK.

#JustDoIt",you’v gotta work make thing work justdoit
2214,Fri Sep 07 16:13:24 +0000 2018,Looking at the journey ahead...I will need to keep watching this😰 #JustDoIt https://t.co/inTQ4fgIdd,look journey ahead need keep watch this😰 justdoit
4604,Fri Sep 07 16:13:23 +0000 2018,"""So don't ask if your dreams are crazy, ask if your dreams are crazy enough."" #nike #ad #justdoit #crazyenough #believeinsomething
https://t.co/mQgvO8urfA",ask dream crazi ask dream crazi enough nike ad justdoit crazyenough believeinsometh
3327,Fri Sep 07 16:13:15 +0000 2018,"@madriannorman .@Nike
@Kaepernick7 is to #Nike like A Fly is to Shit.
#JustDoIt",nike like fli shit justdoit
817,Fri Sep 07 16:13:10 +0000 2018,"We out here..... Nike Sunday!!!!! #justdoit @ Tanger Outlets, Grand Rapids https://t.co/1C7Ipsyswg",nike sunday justdoit tanger outlet grand rapid
4746,Fri Sep 07 16:12:59 +0000 2018,"Owned Yet, Libs? https://t.co/D7I86zTfL7 #Nike #JustDoIt",own yet lib nike justdoit
4485,Fri Sep 07 16:12:59 +0000 2018,"Stand for something. Even if it means sacrifasing everything. 

#JustDoIt https://t.co/xpZz5XSA1z",stand someth even mean sacrifas everyth justdoit
2351,Fri Sep 07 16:12:59 +0000 2018,Now this is what we’re talkin’ about! #MAGA #QAnon #JustDoIt #JustBlewIt #TheRainMakers @POTUS #FridayFeeIing https://t.co/QXriULydFg,we’r talkin’ maga qanon justdoit justblewit therainmak fridayfeei
3530,Fri Sep 07 16:12:53 +0000 2018,@TsMadisonatl1 @PrimeVideo @MsIsisKing @Ariscestocrat @FishTankSeries Run Maddie Run...trackstar 🏃🏾‍♀️ #JustDoIt,run maddi run trackstar 🏃🏾‍♀️ justdoit
2621,Fri Sep 07 16:12:12 +0000 2018,#SplendidLoves Nike's 30th Anniversary #JustDoIt ad campaign with Colin Kaepernick https://t.co/1prGB5HjUh,splendidlov nike th anniversari justdoit ad campaign colin kaepernick
72,Fri Sep 07 16:12:10 +0000 2018,It’s possible to be critical of Nike not paying its workers decent wages AND appreciate Nike’s ad featuring Karpernick. #JustDoIt,it’ possibl critic nike not pay worker decent wage appreci nike’ ad featur karpernick justdoit
4756,Fri Sep 07 16:12:07 +0000 2018,"Slave owners and private prisons have used black men and women as a political and financial piece for gain

But people are mad that nike is putting money in Kaepernick's pockets giving a world platform for a message of racial injustice?
#nike #JustDoIt #Kaepernick #TakeAKnee",slave owner privat prison use black men women polit financi piec gain peopl mad nike put money kaepernick pocket give world platform messag racial injustic nike justdoit kaepernick takeakne
4141,Fri Sep 07 16:12:06 +0000 2018,This is fucked up lol #nike #colinkaepernick #kaepernick #america #nfl #justdoit #justdoit✔️#steviewonder https://t.co/6pbTchCKWd,fuck lol nike colinkaepernick kaepernick america nfl justdoit justdoit✔️ steviewond
329,Fri Sep 07 16:12:06 +0000 2018,Nike took a calculated risk. And won. #advertising #justdoit #nike https://t.co/1TGuPn9EAQ,nike took calcul risk advertis justdoit nike
1955,Fri Sep 07 16:12:03 +0000 2018,"Just Did It! 
#justdoit #nike #collinkaepernick #blackpower #thugpun https://t.co/MPrzoGVc5W",justdoit nike collinkaepernick blackpow thugpun
2504,Fri Sep 07 16:12:00 +0000 2018,No one is safe @kobebryant 😂😂 #JustDoIt https://t.co/W1A5J84i4n,no one safe 😂😂 justdoit
325,Fri Sep 07 16:11:44 +0000 2018,@realDonaldTrump NIKE WAS PISSING YOU OFF.... AND IT WORKED!!!! AHAHAHAHAHAHAAHA #JUSTDOIT ✔️✔️✔️✔️✔️✔️✔️✔️✔️✔️ https://t.co/LwfWOu1Bds,nike piss work ahahahahahahaaha justdoit ✔️✔️✔️✔️✔️✔️✔️✔️✔️✔️
3981,Fri Sep 07 16:11:36 +0000 2018,Just to get you hyped for the weekend! #justdoit Nike: Juntas Imparables - Just Do It https://t.co/PxLs2wpnZL,get hype weekend justdoit nike junta impar
4283,Fri Sep 07 16:11:32 +0000 2018,@beerscouts @LindseyGrahamSC @SenatorCollins @JeffFlake @marcorubio @SenSasse @SenatorIsakson @sendavidperdue @senrobportman @SenBobCorker @lisamurkowski @RepErikPaulsen @SenatorLankford @SenatorBurr @BillCassidy @SenPatRoberts They should #justdoit,justdoit
1941,Fri Sep 07 16:11:32 +0000 2018,"its Natives killed
Got you singin' this star-spangled spiel
To a piece of cloth that represents the ""Land of the Free"" that made people slaves to build #eminem #revival #nike #ColinKaepernick #JustDoIt #iStandWithKaep",nativ kill got singin star spangl spiel piec cloth repres land free made peopl slave build eminem reviv nike colinkaepernick justdoit istandwithkaep
1857,Fri Sep 07 16:11:30 +0000 2018,.@TMZ (of all places) analyzed @Nike customer demographic #JustDoIt https://t.co/tx7F99W2qC,place analyz custom demograph justdoit
4332,Fri Sep 07 16:11:28 +0000 2018,"@nikestore love my nikes
#JUSTDOIT https://t.co/DNw0ZI3hiP",love nike justdoit
4715,Fri Sep 07 16:11:26 +0000 2018,"""Don't ask if your dreams are crazy, ask if you're crazy enough to bring them into reality.""
#JustDoIt https://t.co/KDAC7wXFWk",ask dream crazi ask crazi enough bring realiti justdoit
144,Fri Sep 07 16:11:16 +0000 2018,All Protest Do Not Lead to Progess... When You Protest Alone &amp; Willing to Stand Strong as One For All; Your Efforts Will Continue To Rise When People want to see You Fall! #History #Kapernick #JustDoIt @Nike @nikefootball @OWNTV @TheEllenShow @BETNews #BeYou #livelaughlove #Smile https://t.co/ehJN5nF0Om,protest not lead progess protest alon amp will stand strong one effort continu rise peopl want see fall histori kapernick justdoit beyou livelaughlov smile
4713,Fri Sep 07 16:11:15 +0000 2018,Who wouldn't want Watson on their team! Imagine having that competitive edge in the business world. Watson on your team = a lot more GREEN. #JustDoIt #MoreMoney #LessProblems #AI #Watson https://t.co/rujJnkEV7r,want watson team imagin competit edg busi world watson team lot green justdoit moremoney lessproblem ai watson
2003,Fri Sep 07 16:11:13 +0000 2018,@nike My new dry for golf shorts have FULL POCKETS in front and back! #Iaminlove #nike.com  #ColinKaepernick #JustDoIt #NikeBoycott #NikeAd #nike,new dri golf short full pocket front back iaminlov nike com colinkaepernick justdoit nikeboycott nikead nike
516,Fri Sep 07 16:10:41 +0000 2018,@RealJamesWoods The #ThinBlueLine is far more important than the asinine Don't #JustDoIt campaign.,thinbluelin far import asinin justdoit campaign
1364,Fri Sep 07 16:10:30 +0000 2018,"@realDonaldTrump I met a new friend in the park this morning. What a great way to meet good people...wearing your Nike gear! Thanks, @Nike @nikestore #JustDoIt #TakeAKnee https://t.co/d9X79Br6KS",met new friend park morn great way meet good peopl wear nike gear thank justdoit takeakne
1977,Fri Sep 07 16:10:26 +0000 2018,"@CoryBooker Sen. Booker, I know you may not read this because your Twitter I’m sure blows up all the time. But it’s because of men and women like you that continue to give Americans hope. Never give up the fight, you are fighting for millions of people #justdoit",sen booker know may not read twitter i’m sure blow time it’ men women like continu give american hope never give fight fight million peopl justdoit
657,Fri Sep 07 16:10:19 +0000 2018,Listen as BP and Reese discuss the #Nike x #ColinKaepernick #justdoit campaign. Can commerce and activism coexist? https://t.co/U09dd0xaYQ,listen bp rees discuss nike colinkaepernick justdoit campaign commerc activ coexist
1705,Fri Sep 07 16:10:16 +0000 2018,"This week, while Nike was using money earned from slave labor to pay whiny athletes supposedly protesting ""social justice...""

...Kim Kardashian had ANOTHER White House meeting in an effort to enact policy changes in criminal justice. 

See the difference?

#justdoit",week nike use money earn slave labor pay whini athlet supposedli protest social justic kim kardashian anoth white hous meet effort enact polici chang crimin justic see differ justdoit
4094,Fri Sep 07 16:10:10 +0000 2018,"School shooting? Thoughts and prayers.

Oh, but a protesting brown guy…

#Nike #JustDoIt https://t.co/mrrTaHQzVX",school shoot thought prayer oh protest brown guy… nike justdoit
1676,Fri Sep 07 16:10:04 +0000 2018,Exactly! #justdoit https://t.co/554DGG9K7x,exactli justdoit
