,tweet_created_at,tweet_full_text,text_clean
4422,Fri Sep 07 06:15:52 +0000 2018,THAT PART!! ✅✔✅✔ #kaepernick #nike #justdoit #justice #protest #michaelizayah #insta #instagram #music #justice #goodcause #hashtag #grey #blackandwhite #fight #fightthepower #bars #lyrics… https://t.co/bNJiYOHovK,part ✅✔✅✔ kaepernick nike justdoit justic protest michaelizayah insta instagram music justic goodcaus hashtag grey blackandwhit fight fightthepow bar lyrics…
3776,Fri Sep 07 06:15:42 +0000 2018,"@ALT_DOJ Coming from the Resistance in the DOJ....listen up, then #justdoit",come resist doj listen justdoit
4854,Fri Sep 07 06:14:53 +0000 2018,Friday inspiration! #JustDoIt https://t.co/3Z8iBWOZht,friday inspir justdoit
4379,Fri Sep 07 06:14:40 +0000 2018,@__mellybeann @Babelock_10 @le_cutie @Tramont87 We will figure something out- hell worst case scenario Me and @le_cutie will squeeze up and we can all share!! Hahahahaha #JustDoIt,figur someth hell worst case scenario squeez share hahahahaha justdoit
4404,Fri Sep 07 06:14:23 +0000 2018,"Believe in something, even if it means sacrificing everything! #JustDoIt #NIKE https://t.co/bIhYPnTK0a",believ someth even mean sacrif everyth justdoit nike
2576,Fri Sep 07 06:14:19 +0000 2018,"This is incredible, if you're ever doubting yourself about anything you wanna do - watch this. Please. #JustDoIt https://t.co/aXgrREfvkw",incred ever doubt anyth wanna watch pleas justdoit
2435,Fri Sep 07 06:13:35 +0000 2018,"@Mrs_E_Lincoln @Nike Just one person at Nike will do... get over it, my bad #justdoit #byefelicia 👋🏾👋🏾 https://t.co/wsBcG9g1C5",one person nike get bad justdoit byefelicia 👋🏾👋🏾
959,Fri Sep 07 06:13:33 +0000 2018,"Are your dreams crazy enough?
#Nike https://t.co/ujzZz4lh1w #JustDoIt 
#dreams",dream crazi enough nike justdoit dream
1086,Fri Sep 07 06:12:50 +0000 2018,"""Re-set your personal rules and live the life YOU want."" You've only one chance. Make the best out of it! https://t.co/jmexewN2Me #justdoit #goforit #claricelin https://t.co/wtt4EZcXPW",set person rule live life want one chanc make best justdoit goforit claricelin
2130,Fri Sep 07 06:12:50 +0000 2018,"Just so I am sure of the proper ettiquete, It is okay to kneel during the national anthem, except when Boyz to Men are performing it.  Then you HAVE to stand at attention.  Thanks for clearing that up for me @Nike #sacrificeeverything , #JustDoIt",sure proper ettiquet okay kneel nation anthem except boyz men perform stand attent thank clear sacrificeeveryth justdoit
520,Fri Sep 07 06:11:53 +0000 2018,"What a week for Nike...Kap, Serena, Tiger and Rory. It’s only Thursday. Wowsers. #justdoit",week nike kap serena tiger rori it’ thursday wowser justdoit
1765,Fri Sep 07 06:11:45 +0000 2018,@realDonaldTrump Ur constantly crawling in his jocks &amp; r not going 2 blame it on Barry O? OMG ROFLMAO. @BarackObama #JustDoIt #Fear @HillaryClinton #Nike #ImpeachTrumpNow @Kaepernick7 @StephenAtHome https://t.co/P3oheLD9o1,ur constantli crawl jock amp not go blame barri omg roflmao justdoit fear nike impeachtrumpnow
2455,Fri Sep 07 06:11:41 +0000 2018,"🤷🏻‍♂️💯 Good night! lol  #ForRealTho #JustDoIt #Nike #LosCutit #Original @ Chicago, Illinois https://t.co/hMottqQui7",🤷🏻‍♂️💯 good night lol forrealtho justdoit nike loscutit origin chicago illinoi
1583,Fri Sep 07 06:11:29 +0000 2018,👨🏾‍💻...@Nike This truly seems like an invitation for something really awful... Bringing a gun to a campus is not something kids should just do. This is a terrible image and could incite a “mentally ill person” to #justdoit https://t.co/JTdB2kkJGQ,👨🏾‍💻 truli seem like invit someth realli aw bring gun campu not someth kid terribl imag could incit “mental ill person” justdoit
3651,Fri Sep 07 06:11:04 +0000 2018,This got me chills. And teary eyes. #justdoit https://t.co/LnIt4AT9yj,got chill teari eye justdoit
4408,Fri Sep 07 06:10:08 +0000 2018,Working on it. #nevergiveup #partyyearsover #getyourselfincheck #liveYOURdream #justdoit 😉😉😉😎 #adidassincedayone https://t.co/m8dm9EIIZb,work nevergiveup partyyearsov getyourselfincheck liveyourdream justdoit 😉😉😉😎 adidassincedayon
2840,Fri Sep 07 06:09:13 +0000 2018,@whitenigerian Waiting for answers from Govt that has no idea of what’s going on. Stop supporting them and hold them accountable. Stand for something #JustDoit,wait answer govt no idea what’ go stop support hold account stand someth justdoit
1437,Fri Sep 07 06:09:10 +0000 2018,"Believe in something, even if it means sacrificing everything. #SpiderMan #newgame #justdoit #nike #spidermanwearsniketoo https://t.co/fPInNsGiAk",believ someth even mean sacrif everyth spiderman newgam justdoit nike spidermanwearsniketoo
1442,Fri Sep 07 06:07:56 +0000 2018,#justdoit? More like #justpooit! https://t.co/dj5h2G7i60,justdoit like justpooit
36,Fri Sep 07 06:07:43 +0000 2018,Def tryna get some cropped T-shirt’s but the damn things are still $40 🙄🙄 #justdoit @Nike,def tryna get crop shirt’ damn thing still 🙄🙄 justdoit
3588,Fri Sep 07 06:07:36 +0000 2018,Sometimes those little things you do for others occupy the biggest part of their hearts. #JustDoIt,sometim littl thing other occupi biggest part heart justdoit
4461,Fri Sep 07 06:06:31 +0000 2018,@realDonaldTrump You say taking a knee during the National Anthem is a disgraceful act...so what is your supporter doing WIPING HER SNOTTY NOSE WITH the American Flag? I'd say THAT is disgraceful and DISGUSTING! #FireHer #TakeAKnee #JustDoIt https://t.co/XOfF8mniq1,say take knee nation anthem disgrac act support wipe snotti nose american flag say disgrac disgust fireh takeakne justdoit
8,Fri Sep 07 06:06:24 +0000 2018,#nike #ad #justdoit #weave @ Planet Fitness https://t.co/3l7uV5TKoG,nike ad justdoit weav planet fit
3730,Fri Sep 07 06:05:54 +0000 2018,I FELT THIS #JustDoIt... this is the Best Motivation ever https://t.co/jDFFkyJN7T,felt justdoit best motiv ever
4378,Fri Sep 07 06:05:26 +0000 2018,"Everybody vote blue and we'll #JustDoIt !!!!  By the way @Tribelaw, did you teach Zina Gelman Bash? https://t.co/8kLRBcslvJ",everybodi vote blue justdoit way teach zina gelman bash
1818,Fri Sep 07 06:05:18 +0000 2018,"Baby Nike model in the making ✔️
#justdoit 
@Nike @nikestore @nikesportswear https://t.co/2ddE9C3FBd",babi nike model make ✔️ justdoit
2077,Fri Sep 07 06:04:51 +0000 2018,Check out #JUSTDOIT #ShiaLaBeouf #Tshirt MEMES Transformers Motivational Speech Youtube https://t.co/b7WxxOcyJb @eBay,check justdoit shialabeouf tshirt meme transform motiv speech youtub
2356,Fri Sep 07 06:04:11 +0000 2018,"Opportunities don't happen, you create them. #FridayMotivation #JustDoIt #BeGreater",opportun happen creat fridaymotiv justdoit begreat
2798,Fri Sep 07 06:03:46 +0000 2018,"😂😂😂 #MAGA sets his Nikes on fire, burns down his house. 

#JustDoIt
https://t.co/jQ2pXZimWy",😂😂😂 maga set nike fire burn hous justdoit
5053,Fri Sep 07 06:03:41 +0000 2018,@Nike is being brainwashed by lizards.  Okay but did anyone else think of the same comparison? 😂 #justdoit #ColinKaepernick https://t.co/oGUQIn8SUC,brainwash lizard okay anyon els think comparison justdoit colinkaepernick
4460,Fri Sep 07 06:03:08 +0000 2018,I must eat shawarma today...even if it means sacrificing everything 🔥💨 #JustDoIt #JustDoItSafely #JustBurnIt,must eat shawarma today even mean sacrif everyth 🔥💨 justdoit justdoitsaf justburnit
3202,Fri Sep 07 06:02:49 +0000 2018,"Go ahead. Just burn it, but still, I love NIKE. #JustBurnIt #JustDoIt",go ahead burn still love nike justburnit justdoit
606,Fri Sep 07 06:02:39 +0000 2018,Don't ask if your dreams are crazy. Ask if they're crazy enough. #justdoit https://t.co/qQdDSB7DQY,ask dream crazi ask crazi enough justdoit
3287,Fri Sep 07 06:02:35 +0000 2018,"🤷🏻‍♂️💯 Good night! lol  #ForRealTho #JustDoIt #Nike #LosCutit #Original @ Chicago, Illinois https://t.co/1MDDGu271O",🤷🏻‍♂️💯 good night lol forrealtho justdoit nike loscutit origin chicago illinoi
2560,Fri Sep 07 06:02:26 +0000 2018,"Regrann from @Valentine_Ohu  -  Make friends with people who push you to be better. ⁣⁣
⁣⁣
#Justdoit⁣⁣
#valentineohu ⁣⁣
⁣⁣
⁣⁣
#Repost @folustorms⁣
⁣⁣
Just do it. #Nike #getitin  - #regrann https://t.co/42eqrtkYc3",regrann make friend peopl push better ⁣⁣ ⁣⁣ justdoit⁣⁣ valentineohu ⁣⁣ ⁣⁣ ⁣⁣ repost ⁣⁣ nike getitin regrann
1273,Fri Sep 07 06:02:16 +0000 2018,The ad that made the headlines has a powerful message. #JustDoIt https://t.co/DVJ9dtn5Bt,ad made headlin power messag justdoit
2913,Fri Sep 07 06:02:08 +0000 2018,"Don’t believe you have to be like anybody to be somebody.
#JustDoIt ✅ @Nike @Kaepernick7",don’t believ like anybodi somebodi justdoit
2606,Fri Sep 07 06:02:02 +0000 2018,@Nike believe? Yes! #JustDoIt  no need to voice your opinion #NoAgenda https://t.co/kiMvTvGxjK,believ ye justdoit no need voic opinion noagenda
3075,Fri Sep 07 06:00:59 +0000 2018,Go Nike! #JustDoIt https://t.co/5hXEeHddRJ,go nike justdoit
3476,Fri Sep 07 06:00:27 +0000 2018,"Irony of the day, Pt. 2: The motto for @Kaepernick7's #JustDoIt campaign for #Nike seems really well-suited for @realDonaldTrump supporters. ""Believe in #DonaldTrump . Even if it means sacrificing the #UnitedStates ."" You can't make this shit up. #uplikedonaldtrump https://t.co/aFxsM0lXdM",ironi day pt motto justdoit campaign nike seem realli well suit support believ donaldtrump even mean sacrif unitedst make shit uplikedonaldtrump
4668,Fri Sep 07 06:00:03 +0000 2018,"@JimCarrey @Nike Let’s also look the other way that #Nike uses sweatshop child labor.  But that’s ok, if it makes higher profits #JustDoIt And if we exploit the BLM cause that’s ok too #CapitalismWithAConscious #NikeBoycott #NFLBoycott",let’ also look way nike use sweatshop child labor that’ ok make higher profit justdoit exploit blm caus that’ ok capitalismwithaconsci nikeboycott nflboycott
2275,Fri Sep 07 05:59:52 +0000 2018,"For the best personal training in kickboxing classes and general weight management program in Nairobi, hit my inbox  #MileleNaroktakeover #KahawaTungu  #JustDoIt #Fahrenheit119 https://t.co/KXOXl2cdCJ",best person train kickbox class gener weight manag program nairobi hit inbox milelenaroktakeov kahawatungu justdoit fahrenheit
4934,Fri Sep 07 05:59:23 +0000 2018,@TheView This this this again! This Is why we should all #TakeAKnee #JustDoIt #BlackLivesMatter https://t.co/kMYhzNQ4Qp,takeakne justdoit blacklivesmatt
2055,Fri Sep 07 05:58:54 +0000 2018,"@Nike I’m in need of new @Nike attire for this New Fitness transformation of mine . Or I’m open for a 15 sec commercial with @nike , 15 secs is blessing and a dream 🤷🏾‍♂️ Hey maybe a dream can come true , it’s a try... #dreamcrazy #justdoit https://t.co/u5KLcrxrfg",i’m need new attir new fit transform mine i’m open sec commerci sec bless dream 🤷🏾‍♂️ hey mayb dream come true it’ tri dreamcrazi justdoit
1590,Fri Sep 07 05:58:53 +0000 2018,Serena Williams into US Open final with emphatic win over Anastasija Sevastova #GOAT #USOpen #AreYourDreamsCrazyEnough #Nike #JustDoIt  https://t.co/ewegRjf9gL,serena william us open final emphat win anastasija sevastova goat usopen areyourdreamscrazyenough nike justdoit
4859,Fri Sep 07 05:58:21 +0000 2018,@TheDemocrats Please let this be your nominee - please !  #Charlatan #Liar #SexualPredator @CoryBooker @GOP #CoreyBooker #KavanaghHearing #JustDoIt https://t.co/oFubLdOxFS,pleas let nomine pleas charlatan liar sexualpred coreybook kavanaghhear justdoit
1698,Fri Sep 07 05:58:19 +0000 2018,@TomiLahren Stuff your pretty little mouth with a Nike shoe! And choke on it! #TakeAKnee #JustDoIt,stuff pretti littl mouth nike shoe choke takeakne justdoit
4729,Fri Sep 07 05:58:14 +0000 2018,"Oh no...
#FullMetalAlchemist #JustDoIt #sacrificeeverything #NoStoneUnturned https://t.co/cEACcffgmX",oh no fullmetalalchemist justdoit sacrificeeveryth nostoneunturn
